purchase_id,user_id,purchase_date,time,plan_type,revenue
51,142,2025-08-31,12:16:41,Basic,49.00
52,142,2025-10-11,12:16:41,Basic,49.00
53,143,2026-01-08,3:52:06,Pro,49.00
54,143,2026-02-02,3:52:06,Pro,49.00
55,148,2025-12-04,2:33:44,Basic,99.00
56,148,2026-01-15,2:33:44,Basic,99.00
57,151,2025-06-15,8:20:49,Pro,49.00
58,152,2025-04-22,12:35:44,Basic,19.00
59,154,2025-07-19,11:39:34,Basic,29.00
60,159,2025-06-18,7:14:42,Basic,29.00
61,159,2025-07-15,7:14:42,Basic,29.00
62,162,2025-03-18,8:13:09,Pro,99.00
63,162,2025-04-22,8:13:09,Pro,99.00
64,167,2025-05-20,3:21:08,Basic,49.00
65,167,2025-06-20,3:21:08,Basic,49.00
66,169,2025-05-22,4:41:49,Pro,99.00
67,169,2025-06-23,4:41:49,Pro,99.00
68,171,2025-06-13,6:22:56,Enterprise,19.00
69,175,2025-10-05,1:28:30,Pro,29.00
70,175,2025-11-02,1:28:30,Pro,29.00
71,177,2025-04-13,10:32:06,Pro,29.00
72,177,2025-05-27,10:32:06,Pro,29.00
73,180,2025-11-09,3:49:34,Pro,29.00
74,180,2025-12-23,3:49:34,Pro,29.00
75,183,2025-04-06,7:02:19,Pro,29.00
76,184,2025-11-16,2:42:20,Basic,19.00
77,187,2025-10-10,10:35:11,Pro,99.00
78,196,2025-12-24,4:16:22,Pro,99.00
79,200,2025-10-14,10:46:02,Basic,99.00
80,200,2025-11-16,10:46:02,Basic,99.00
81,202,2025-10-19,3:03:40,Pro,29.00
82,202,2025-11-28,3:03:40,Pro,29.00
83,208,2025-10-30,7:23:07,Basic,29.00
84,216,2025-07-05,11:46:35,Basic,29.00
85,217,2025-12-14,9:14:03,Pro,19.00
86,217,2026-01-12,9:14:03,Pro,19.00
87,221,2025-01-30,6:03:41,Pro,49.00
88,222,2025-02-09,9:44:42,Basic,49.00
89,222,2025-03-15,9:44:42,Basic,49.00
90,223,2025-08-07,10:59:11,Pro,29.00
91,223,2025-09-05,10:59:11,Pro,29.00
92,225,2025-09-22,2:28:06,Basic,99.00
93,227,2025-09-20,9:28:56,Basic,49.00
94,227,2025-10-15,9:28:56,Basic,49.00
95,232,2025-03-21,5:39:04,Basic,29.00
96,237,2025-03-04,12:37:32,Basic,19.00
97,237,2025-03-29,12:37:32,Basic,19.00
98,246,2025-07-05,10:01:08,Basic,49.00
99,246,2025-07-30,10:01:08,Basic,49.00
100,251,2025-04-19,8:08:55,Pro,49.00
101,252,2025-10-22,10:01:50,Basic,99.00
102,252,2025-12-04,10:01:50,Basic,99.00
103,253,2025-08-11,4:51:06,Pro,19.00
104,254,2025-06-19,4:25:25,Basic,49.00
105,254,2025-08-01,4:25:25,Basic,49.00
106,259,2025-08-25,11:56:32,Pro,29.00
107,259,2025-10-04,11:56:32,Pro,29.00
108,262,2025-08-12,3:16:09,Basic,99.00
109,262,2025-09-14,3:16:09,Basic,99.00
110,265,2025-04-30,2:21:49,Pro,49.00
111,270,2025-07-09,11:37:20,Basic,29.00
112,270,2025-08-06,11:37:20,Basic,29.00
113,274,2025-01-27,9:52:48,Basic,99.00
114,274,2025-03-01,9:52:48,Basic,99.00
115,282,2025-05-06,5:02:24,Basic,29.00
116,283,2025-03-25,11:54:40,Pro,29.00
117,287,2025-10-07,10:00:11,Basic,29.00
118,290,2025-11-02,3:51:33,Pro,29.00
119,291,2025-12-23,12:04:06,Enterprise,49.00
120,291,2026-01-27,12:04:06,Enterprise,49.00
121,293,2025-06-07,3:01:10,Basic,29.00
122,294,2025-08-02,6:03:54,Basic,19.00
123,307,2025-08-18,8:27:27,Pro,49.00
124,311,2025-02-22,5:49:47,Basic,19.00
125,312,2025-02-17,4:51:06,Basic,49.00
126,312,2025-04-01,4:51:06,Basic,49.00
127,315,2025-04-25,3:15:40,Pro,29.00
128,315,2025-05-20,3:15:40,Pro,29.00
129,316,2025-12-17,8:18:10,Basic,99.00
130,317,2025-09-28,8:04:35,Basic,29.00
131,317,2025-11-03,8:04:35,Basic,29.00
132,319,2025-10-23,7:40:42,Basic,19.00
133,322,2025-01-25,12:58:01,Basic,29.00
134,322,2025-03-03,12:58:01,Basic,29.00
135,324,2025-09-12,6:47:26,Basic,19.00
136,324,2025-10-17,6:47:26,Basic,19.00
137,327,2025-05-21,2:59:18,Pro,49.00
138,327,2025-06-19,2:59:18,Pro,49.00
139,328,2025-05-22,8:23:15,Pro,49.00
140,330,2025-07-03,9:22:40,Pro,49.00
141,331,2025-12-23,8:07:03,Pro,29.00
142,332,2025-08-01,12:08:31,Basic,29.00
143,333,2025-05-06,4:49:42,Basic,19.00
144,340,2025-08-16,5:43:52,Basic,19.00
145,343,2025-05-11,1:58:54,Enterprise,29.00
146,343,2025-06-10,1:58:54,Enterprise,29.00
147,346,2025-01-25,10:03:14,Pro,99.00
148,346,2025-03-03,10:03:14,Pro,99.00
149,365,2025-10-05,2:50:16,Pro,29.00
150,365,2025-11-15,2:50:16,Pro,29.00
151,369,2025-06-07,5:07:27,Basic,49.00
152,372,2025-08-28,10:59:35,Pro,99.00
153,372,2025-09-30,10:59:35,Pro,99.00
154,374,2025-11-28,12:53:11,Pro,29.00
155,374,2026-01-01,12:53:11,Pro,29.00
156,375,2025-09-28,10:38:24,Basic,19.00
157,375,2025-10-26,10:38:24,Basic,19.00
158,378,2025-11-11,12:07:38,Pro,29.00
159,378,2025-12-10,12:07:38,Pro,29.00
160,382,2025-01-30,7:12:37,Basic,19.00
161,383,2025-09-07,8:39:03,Pro,29.00
162,385,2025-05-26,8:08:29,Basic,49.00
163,385,2025-07-02,8:08:29,Basic,49.00
164,388,2025-05-23,9:49:12,Basic,49.00
165,389,2026-01-17,11:41:22,Pro,29.00
166,389,2026-02-13,11:41:22,Pro,29.00
167,390,2025-09-29,6:26:32,Basic,19.00
168,392,2025-05-29,6:36:01,Pro,99.00
169,392,2025-06-25,6:36:01,Pro,99.00
170,393,2025-09-01,1:58:23,Pro,29.00
171,401,2025-10-16,8:47:36,Basic,29.00
172,405,2025-06-15,8:54:56,Basic,29.00
173,405,2025-07-17,8:54:56,Basic,29.00
174,408,2025-12-19,8:56:15,Basic,19.00
175,408,2026-01-15,8:56:15,Basic,19.00
176,409,2025-08-15,10:45:39,Basic,19.00
177,409,2025-09-15,10:45:39,Basic,19.00
178,413,2025-10-25,2:01:42,Pro,49.00
179,413,2025-11-30,2:01:42,Pro,49.00
180,420,2025-03-01,6:17:22,Basic,49.00
181,420,2025-04-01,6:17:22,Basic,49.00
182,421,2025-07-11,11:40:05,Pro,49.00
183,426,2025-05-22,8:13:25,Basic,49.00
184,426,2025-06-20,8:13:25,Basic,49.00
185,436,2025-12-11,3:49:47,Basic,29.00
186,442,2026-01-13,6:20:31,Basic,29.00
187,451,2025-03-11,9:06:37,Basic,29.00
188,451,2025-04-08,9:06:37,Basic,29.00
189,452,2025-03-05,10:42:36,Basic,19.00
190,455,2025-02-18,9:05:09,Basic,19.00
191,455,2025-04-03,9:05:09,Basic,19.00
192,456,2025-06-15,4:46:26,Pro,19.00
193,456,2025-07-13,4:46:26,Pro,19.00
194,465,2025-08-03,8:41:31,Enterprise,99.00
195,473,2025-08-30,7:39:43,Basic,49.00
196,473,2025-09-27,7:39:43,Basic,49.00
197,476,2025-10-08,9:00:01,Pro,49.00
198,480,2025-02-03,12:32:53,Basic,99.00
199,480,2025-03-03,12:32:53,Basic,99.00
200,481,2025-03-03,3:46:01,Enterprise,19.00
201,481,2025-04-06,3:46:01,Enterprise,19.00
202,482,2025-02-07,8:54:26,Basic,99.00
203,482,2025-03-17,8:54:26,Basic,99.00
204,484,2025-07-01,7:58:15,Pro,29.00
205,486,2025-10-27,11:30:39,Basic,29.00
206,486,2025-11-23,11:30:39,Basic,29.00
207,487,2025-12-31,11:58:38,Enterprise,29.00
208,487,2026-02-07,11:58:38,Enterprise,29.00
209,488,2025-10-17,7:08:05,Basic,29.00
210,488,2025-11-16,7:08:05,Basic,29.00
211,489,2025-12-26,3:52:54,Pro,29.00
212,489,2026-02-06,3:52:54,Pro,29.00
213,491,2025-08-13,11:25:50,Pro,49.00
214,491,2025-09-22,11:25:50,Pro,49.00
215,493,2025-11-15,2:23:37,Enterprise,29.00
216,493,2025-12-21,2:23:37,Enterprise,29.00
217,497,2025-09-18,1:32:23,Basic,19.00
218,497,2025-10-27,1:32:23,Basic,19.00
219,498,2025-04-15,4:02:40,Basic,29.00
220,499,2025-07-28,8:06:32,Enterprise,29.00
221,499,2025-09-10,8:06:32,Enterprise,29.00
222,504,2025-09-06,3:43:24,Enterprise,99.00
223,508,2025-11-12,1:10:09,Basic,19.00
224,509,2025-05-04,7:34:47,Basic,99.00
225,510,2026-01-05,12:03:24,Pro,29.00
226,514,2025-04-12,9:00:40,Basic,29.00
227,522,2025-12-07,1:24:31,Basic,29.00
228,529,2025-03-02,6:43:45,Pro,29.00
229,541,2025-06-24,10:22:13,Pro,49.00
230,541,2025-07-27,10:22:13,Pro,49.00
231,543,2025-02-27,4:23:21,Pro,29.00
232,546,2025-11-08,3:25:39,Basic,29.00
233,546,2025-12-09,3:25:39,Basic,29.00
234,550,2025-11-17,10:21:30,Pro,49.00
235,550,2025-12-13,10:21:30,Pro,49.00
236,565,2025-09-30,5:11:57,Pro,29.00
237,565,2025-10-30,5:11:57,Pro,29.00
238,568,2025-09-08,12:46:46,Basic,19.00
239,568,2025-10-06,12:46:46,Basic,19.00
240,574,2025-06-02,10:23:25,Basic,99.00
241,574,2025-07-12,10:23:25,Basic,99.00
242,581,2025-04-18,5:16:41,Pro,19.00
243,581,2025-05-19,5:16:41,Pro,19.00
244,586,2025-04-17,1:12:20,Pro,29.00
245,586,2025-05-24,1:12:20,Pro,29.00
246,593,2025-07-10,6:56:00,Basic,29.00
247,594,2025-04-06,1:18:49,Enterprise,29.00
248,595,2025-03-13,5:28:25,Pro,19.00
249,596,2025-01-22,7:08:48,Basic,29.00
250,596,2025-03-01,7:08:48,Basic,29.00
251,598,2025-02-15,1:47:13,Basic,19.00
252,605,2025-09-28,9:32:28,Basic,29.00
253,605,2025-10-29,9:32:28,Basic,29.00
254,606,2025-12-06,10:30:12,Basic,99.00
255,617,2025-10-15,1:38:19,Basic,19.00
256,617,2025-11-12,1:38:19,Basic,19.00
257,622,2025-06-17,11:52:53,Basic,99.00
258,622,2025-07-12,11:52:53,Basic,99.00
259,624,2025-11-18,9:17:16,Basic,49.00
260,624,2025-12-18,9:17:16,Basic,49.00
261,625,2025-12-25,10:35:57,Pro,29.00
262,631,2025-08-01,6:35:25,Basic,99.00
263,631,2025-08-30,6:35:25,Basic,99.00
264,637,2025-07-28,12:35:37,Basic,49.00
265,640,2025-05-11,3:05:56,Basic,19.00
266,647,2025-01-11,8:13:10,Pro,29.00
267,648,2025-03-13,8:28:41,Basic,19.00
268,648,2025-04-17,8:28:41,Basic,19.00
269,653,2025-11-25,6:24:33,Basic,19.00
270,656,2025-07-27,8:30:10,Basic,29.00
271,656,2025-08-30,8:30:10,Basic,29.00
272,657,2025-07-05,9:42:17,Basic,29.00
273,658,2025-02-25,4:37:51,Pro,99.00
274,658,2025-03-30,4:37:51,Pro,99.00
275,663,2025-12-22,6:49:39,Pro,49.00
276,663,2026-01-18,6:49:39,Pro,49.00
277,664,2025-12-04,10:22:07,Basic,29.00
278,665,2025-01-26,5:42:47,Basic,19.00
279,666,2025-12-18,5:28:47,Pro,49.00
280,666,2026-01-28,5:28:47,Pro,49.00
281,671,2025-07-17,12:20:47,Basic,19.00
282,672,2025-05-23,5:18:18,Pro,19.00
283,672,2025-06-29,5:18:18,Pro,19.00
284,674,2025-09-25,2:07:19,Enterprise,29.00
285,682,2025-12-16,7:34:10,Pro,49.00
286,686,2025-06-18,1:16:50,Pro,29.00
287,686,2025-07-13,1:16:50,Pro,29.00
288,688,2025-02-02,1:54:40,Basic,19.00
289,688,2025-02-27,1:54:40,Basic,19.00
290,689,2025-06-24,11:31:51,Basic,49.00
291,689,2025-08-07,11:31:51,Basic,49.00
292,690,2025-12-20,3:42:01,Pro,49.00
293,698,2025-05-15,2:08:01,Basic,19.00
294,698,2025-06-26,2:08:01,Basic,19.00
295,702,2025-02-18,3:46:30,Pro,49.00
296,702,2025-03-18,3:46:30,Pro,49.00
297,704,2026-01-06,3:30:33,Pro,49.00
298,704,2026-02-09,3:30:33,Pro,49.00
299,710,2025-05-05,8:29:21,Pro,19.00
300,712,2025-02-16,1:31:20,Basic,19.00
301,712,2025-03-26,1:31:20,Basic,19.00
302,719,2026-01-09,12:22:34,Pro,29.00
303,719,2026-02-12,12:22:34,Pro,29.00
304,720,2025-05-14,9:14:04,Pro,49.00
305,720,2025-06-27,9:14:04,Pro,49.00
306,721,2025-01-14,3:43:51,Pro,49.00
307,721,2025-02-13,3:43:51,Pro,49.00
308,722,2025-02-19,2:24:35,Pro,29.00
309,722,2025-03-16,2:24:35,Pro,29.00
310,724,2025-12-14,9:10:44,Basic,19.00
311,728,2025-10-31,2:45:29,Pro,19.00
312,728,2025-12-13,2:45:29,Pro,19.00
313,729,2025-03-27,8:01:40,Pro,29.00
314,729,2025-04-24,8:01:40,Pro,29.00
315,742,2025-09-24,9:24:39,Pro,29.00
316,750,2025-10-27,2:01:58,Pro,19.00
317,750,2025-12-04,2:01:58,Pro,19.00
318,751,2025-09-03,7:51:52,Basic,29.00
319,751,2025-09-30,7:51:52,Basic,29.00
320,754,2025-06-16,3:41:17,Enterprise,49.00
321,755,2025-08-05,1:52:16,Basic,29.00
322,756,2025-06-26,11:34:08,Pro,29.00
323,756,2025-07-21,11:34:08,Pro,29.00
324,757,2025-10-15,2:19:41,Basic,19.00
325,757,2025-11-14,2:19:41,Basic,19.00
326,760,2025-12-17,7:23:04,Basic,99.00
327,760,2026-01-17,7:23:04,Basic,99.00
328,761,2025-03-01,6:55:08,Basic,29.00
329,761,2025-04-03,6:55:08,Basic,29.00
330,763,2025-11-12,10:30:42,Pro,19.00
331,763,2025-12-18,10:30:42,Pro,19.00
332,767,2025-10-23,6:07:56,Enterprise,29.00
333,771,2025-07-01,3:59:04,Basic,19.00
334,771,2025-08-08,3:59:04,Basic,19.00
335,777,2025-11-12,4:42:27,Basic,19.00
336,780,2025-12-31,9:06:54,Pro,99.00
337,780,2026-01-26,9:06:54,Pro,99.00
338,782,2025-06-29,5:50:44,Basic,29.00
339,782,2025-08-04,5:50:44,Basic,29.00
340,783,2025-10-25,3:52:36,Enterprise,19.00
341,789,2025-04-22,12:01:24,Basic,49.00
342,789,2025-06-02,12:01:24,Basic,49.00
343,793,2025-01-13,6:56:15,Basic,29.00
344,793,2025-02-22,6:56:15,Basic,29.00
345,796,2025-10-03,9:41:00,Pro,99.00
346,796,2025-11-03,9:41:00,Pro,99.00
347,797,2025-03-26,5:17:40,Pro,99.00
348,797,2025-05-08,5:17:40,Pro,99.00
349,800,2025-05-30,5:32:22,Basic,49.00
350,800,2025-07-12,5:32:22,Basic,49.00
351,802,2025-05-25,10:12:46,Pro,29.00
352,804,2025-08-01,8:34:12,Basic,29.00
353,804,2025-08-29,8:34:12,Basic,29.00
354,808,2026-01-16,4:11:22,Basic,19.00
355,808,2026-02-10,4:11:22,Basic,19.00
356,813,2025-03-08,12:30:49,Pro,99.00
357,813,2025-04-03,12:30:49,Pro,99.00
358,817,2025-08-15,2:26:53,Pro,29.00
359,818,2025-10-16,4:37:32,Basic,49.00
360,818,2025-11-25,4:37:32,Basic,49.00
361,820,2025-06-02,7:34:01,Pro,29.00
362,820,2025-07-04,7:34:01,Pro,29.00
363,827,2025-10-21,2:04:12,Basic,19.00
364,827,2025-11-27,2:04:12,Basic,19.00
365,828,2025-12-16,4:34:44,Basic,19.00
366,831,2025-06-25,2:23:03,Basic,99.00
367,832,2025-12-31,2:41:51,Basic,29.00
368,835,2025-10-22,10:41:25,Basic,99.00
369,838,2025-04-26,5:49:50,Pro,99.00
370,843,2025-11-19,12:54:59,Enterprise,29.00
371,843,2025-12-24,12:54:59,Enterprise,29.00
372,844,2025-03-18,2:44:21,Basic,19.00
373,846,2025-10-05,5:29:02,Basic,49.00
374,846,2025-10-31,5:29:02,Basic,49.00
375,847,2025-10-04,5:53:22,Enterprise,29.00
376,847,2025-11-06,5:53:22,Enterprise,29.00
377,850,2025-07-18,6:15:17,Pro,19.00
378,850,2025-08-26,6:15:17,Pro,19.00
379,851,2025-05-05,9:36:38,Basic,49.00
380,851,2025-06-10,9:36:38,Basic,49.00
381,852,2025-05-28,4:05:46,Pro,29.00
382,862,2025-03-13,4:34:05,Pro,29.00
383,866,2025-04-15,12:54:31,Basic,49.00
384,871,2025-07-25,6:01:36,Basic,29.00
385,871,2025-09-07,6:01:36,Basic,29.00
386,876,2025-04-04,6:03:36,Basic,99.00
387,876,2025-05-04,6:03:36,Basic,99.00
388,878,2025-08-20,7:28:48,Enterprise,49.00
389,879,2025-09-04,10:26:32,Pro,49.00
390,879,2025-09-30,10:26:32,Pro,49.00
391,883,2025-12-24,11:45:56,Pro,49.00
392,897,2025-10-08,4:43:39,Pro,99.00
393,897,2025-11-02,4:43:39,Pro,99.00
394,898,2025-07-07,4:39:00,Pro,49.00
395,900,2025-12-23,10:36:18,Pro,99.00
396,900,2026-01-23,10:36:18,Pro,99.00
397,907,2025-02-05,4:23:41,Enterprise,29.00
398,907,2025-03-06,4:23:41,Enterprise,29.00
399,911,2025-05-25,3:54:28,Pro,49.00
400,911,2025-06-28,3:54:28,Pro,49.00
401,918,2025-03-14,5:55:22,Basic,29.00
402,918,2025-04-27,5:55:22,Basic,29.00
403,921,2025-07-09,9:35:11,Pro,19.00
404,921,2025-08-16,9:35:11,Pro,19.00
405,927,2025-11-08,5:49:45,Pro,19.00
406,927,2025-12-20,5:49:45,Pro,19.00
407,933,2025-06-22,7:00:11,Pro,29.00
408,933,2025-07-22,7:00:11,Pro,29.00
409,934,2025-10-24,10:52:33,Enterprise,29.00
410,936,2025-03-08,5:21:40,Pro,29.00
411,938,2025-05-07,5:57:55,Pro,29.00
412,939,2025-04-16,6:07:59,Enterprise,49.00
413,939,2025-05-21,6:07:59,Enterprise,49.00
414,941,2025-06-08,3:15:01,Pro,99.00
415,941,2025-07-10,3:15:01,Pro,99.00
416,943,2025-10-01,9:56:32,Basic,29.00
417,943,2025-10-27,9:56:32,Basic,29.00
418,950,2025-10-20,2:05:35,Basic,49.00
419,952,2025-02-11,12:33:16,Pro,29.00
420,952,2025-03-22,12:33:16,Pro,29.00
421,953,2025-09-11,12:06:05,Basic,29.00
422,957,2025-09-12,1:41:37,Basic,19.00
423,963,2025-08-02,7:34:25,Basic,29.00
424,965,2025-06-27,4:01:59,Basic,29.00
425,965,2025-08-02,4:01:59,Basic,29.00
426,968,2025-09-22,6:40:58,Pro,29.00
427,968,2025-10-29,6:40:58,Pro,29.00
428,971,2025-06-12,3:00:06,Basic,19.00
429,977,2025-06-06,5:10:55,Basic,19.00
430,980,2025-04-26,10:40:10,Pro,49.00
431,984,2025-03-14,9:10:45,Pro,49.00
432,984,2025-04-22,9:10:45,Pro,49.00
433,986,2025-12-05,6:43:38,Pro,19.00
434,986,2026-01-01,6:43:38,Pro,19.00
435,994,2025-04-13,9:51:43,Pro,19.00
436,994,2025-05-26,9:51:43,Pro,19.00
437,996,2025-10-19,7:39:49,Pro,29.00
438,996,2025-11-25,7:39:49,Pro,29.00
439,999,2025-06-14,9:59:32,Basic,29.00
440,999,2025-07-11,9:59:32,Basic,29.00
441,1000,2025-09-12,4:15:33,Pro,29.00
442,1000,2025-10-25,4:15:33,Pro,29.00
443,1001,2025-12-15,6:48:34,Pro,19.00
444,1001,2026-01-20,6:48:34,Pro,19.00
445,1004,2025-06-22,3:30:44,Pro,19.00
446,1013,2025-08-24,6:22:37,Enterprise,19.00
447,1013,2025-09-20,6:22:37,Enterprise,19.00
448,1016,2025-03-23,8:09:16,Basic,49.00
449,1016,2025-04-26,8:09:16,Basic,49.00
450,1018,2025-08-19,10:38:59,Pro,19.00
451,1018,2025-09-22,10:38:59,Pro,19.00
452,1021,2026-01-09,10:17:11,Basic,49.00
453,1027,2025-12-24,2:04:22,Pro,49.00
454,1028,2025-11-13,3:39:37,Basic,99.00
455,1028,2025-12-23,3:39:37,Basic,99.00
456,1029,2025-08-31,6:40:33,Basic,49.00
457,1034,2025-02-18,6:29:31,Basic,29.00
458,1034,2025-04-01,6:29:31,Basic,29.00
459,1038,2025-12-07,5:06:12,Pro,19.00
460,1041,2025-06-06,11:15:06,Basic,29.00
461,1044,2025-03-14,6:54:39,Pro,19.00
462,1044,2025-04-18,6:54:39,Pro,19.00
463,1049,2025-07-05,10:08:36,Pro,19.00
464,1049,2025-08-09,10:08:36,Pro,19.00
465,1054,2025-04-19,5:53:54,Basic,29.00
466,1054,2025-05-24,5:53:54,Basic,29.00
467,1055,2025-09-20,7:29:42,Basic,29.00
468,1055,2025-10-29,7:29:42,Basic,29.00
469,1058,2025-12-07,3:47:07,Pro,29.00
470,1058,2026-01-09,3:47:07,Pro,29.00
471,1060,2026-01-08,9:31:17,Pro,29.00
472,1060,2026-02-15,9:31:17,Pro,29.00
473,1068,2025-08-28,11:13:55,Pro,99.00
474,1071,2025-10-19,6:36:16,Pro,29.00
475,1073,2025-08-16,8:10:54,Basic,49.00
476,1073,2025-09-28,8:10:54,Basic,49.00
477,1077,2025-02-06,4:34:49,Pro,29.00
478,1077,2025-03-14,4:34:49,Pro,29.00
479,1085,2025-06-14,4:23:44,Pro,29.00
480,1087,2025-08-02,5:11:47,Basic,29.00
481,1087,2025-09-12,5:11:47,Basic,29.00
482,1089,2025-12-17,11:14:12,Basic,29.00
483,1089,2026-01-27,11:14:12,Basic,29.00
484,1093,2025-07-28,2:36:49,Enterprise,49.00
485,1093,2025-08-31,2:36:49,Enterprise,49.00
486,1094,2025-02-22,3:34:36,Basic,29.00
487,1100,2025-10-22,10:23:46,Basic,29.00
488,1103,2025-12-27,4:21:42,Basic,29.00
489,1105,2025-12-28,3:09:03,Basic,19.00
490,1105,2026-01-28,3:09:03,Basic,19.00
491,1107,2025-05-05,2:38:02,Pro,19.00
492,1107,2025-06-15,2:38:02,Pro,19.00
493,1114,2025-04-19,7:24:39,Pro,19.00
494,1116,2025-11-29,9:13:38,Basic,19.00
495,1116,2025-12-25,9:13:38,Basic,19.00
496,1118,2025-09-21,1:43:30,Basic,29.00
497,1119,2025-07-20,5:58:52,Pro,19.00
498,1119,2025-08-14,5:58:52,Pro,19.00
499,1120,2025-08-27,6:06:23,Basic,29.00
500,1120,2025-10-08,6:06:23,Basic,29.00
501,1121,2025-02-16,2:45:05,Pro,49.00
502,1123,2025-09-09,1:31:37,Pro,99.00
503,1123,2025-10-16,1:31:37,Pro,99.00
504,1125,2025-04-23,6:46:42,Basic,49.00
505,1125,2025-06-05,6:46:42,Basic,49.00
506,1127,2025-09-12,5:11:32,Basic,49.00
507,1136,2025-06-25,6:08:04,Pro,19.00
508,1136,2025-07-24,6:08:04,Pro,19.00
509,1137,2025-09-11,3:59:07,Pro,29.00
510,1137,2025-10-07,3:59:07,Pro,29.00
511,1141,2025-07-15,8:00:48,Pro,99.00
512,1143,2025-04-24,3:41:13,Enterprise,29.00
513,1143,2025-06-07,3:41:13,Enterprise,29.00
514,1154,2025-11-26,4:54:53,Basic,99.00
515,1154,2025-12-31,4:54:53,Basic,99.00
516,1155,2025-02-26,4:09:14,Basic,29.00
517,1156,2025-12-12,12:31:58,Basic,19.00
518,1156,2026-01-18,12:31:58,Basic,19.00
519,1158,2025-11-24,4:07:24,Basic,19.00
520,1166,2025-09-25,6:36:44,Basic,19.00
521,1166,2025-10-27,6:36:44,Basic,19.00
522,1172,2025-01-18,8:33:25,Basic,49.00
523,1173,2025-04-06,1:43:41,Basic,49.00
524,1173,2025-05-01,1:43:41,Basic,49.00
525,1175,2025-05-03,12:35:39,Basic,99.00
526,1175,2025-06-16,12:35:39,Basic,99.00
527,1176,2025-04-14,7:21:58,Pro,49.00
528,1180,2025-09-26,3:23:24,Basic,29.00
529,1180,2025-10-25,3:23:24,Basic,29.00
530,1184,2025-01-29,3:11:46,Pro,99.00
531,1184,2025-03-07,3:11:46,Pro,99.00
532,1189,2025-03-01,10:10:54,Basic,29.00
533,1189,2025-04-01,10:10:54,Basic,29.00
534,1190,2026-01-03,4:40:27,Pro,49.00
535,1190,2026-02-01,4:40:27,Pro,49.00
536,1195,2025-03-28,11:12:34,Basic,19.00
537,1201,2025-05-12,1:06:44,Enterprise,19.00
538,1201,2025-06-09,1:06:44,Enterprise,19.00
539,1207,2025-02-05,9:03:34,Basic,29.00
540,1207,2025-03-19,9:03:34,Basic,29.00
541,1208,2025-07-03,9:28:53,Basic,49.00
542,1208,2025-08-15,9:28:53,Basic,49.00
543,1210,2025-08-08,2:16:29,Pro,49.00
544,1211,2025-06-05,11:39:23,Basic,19.00
545,1211,2025-07-14,11:39:23,Basic,19.00
546,1214,2025-10-13,11:38:00,Basic,29.00
547,1215,2026-01-23,6:31:31,Enterprise,49.00
548,1215,2026-02-19,6:31:31,Enterprise,49.00
549,1217,2025-01-28,9:43:30,Pro,19.00
