"user_id";"signup_date";"time";"acquisition_channel";"device_type";"country";"user_segment";"age_group";"rn"
74;"2025-06-06";"12:24:14";"Organic";"Desktop";"Ghana";"Free";"35-44";1
75;"2025-03-16";"01:13:06";"Organic";"Desktop";"Nigeria";"Premium";"18-24";1
76;"2025-02-06";"03:07:57";"Organic";"Mobile";"Kenya";"Free";"18-24";1
77;"2025-01-22";"03:42:08";"Organic";"Mobile";"USA";"Free";"25-34";1
78;"2025-02-18";"02:14:59";"Paid Ads";"Mobile";"South Africa";"Free";"25-34";1
79;"2025-07-05";"04:34:57";"Organic";"Mobile";"USA";"Free";"25-34";1
80;"2025-08-11";"07:07:19";"Organic";"Mobile";"USA";"Premium";"18-24";1
81;"2025-09-24";"12:24:35";"Organic";"Desktop";"USA";"Free";"45+";1
82;"2025-12-16";"03:26:57";"Social";"Mobile";"USA";"Free";"18-24";1
83;"2025-06-13";"02:14:21";"Paid Ads";"Desktop";"Nigeria";"Free";"18-24";1
84;"2025-09-08";"08:43:49";"Paid Ads";"Tablet";"USA";"Premium";"25-34";1
85;"2025-08-28";"10:30:13";"Paid Ads";"Mobile";"Nigeria";"Free";"18-24";1
86;"2025-09-16";"12:13:55";"Social";"Desktop";"Nigeria";"Free";"18-24";1
87;"2025-09-14";"08:25:25";"Organic";"Mobile";"Nigeria";"Free";"18-24";1
88;"2025-04-01";"03:30:36";"Paid Ads";"Desktop";"Kenya";"Free";"18-24";1
89;"2025-11-02";"11:45:02";"Referral";"Mobile";"Ghana";"Free";"18-24";1
90;"2025-12-11";"12:35:29";"Paid Ads";"Desktop";"Kenya";"Premium";"18-24";1
91;"2025-03-26";"06:36:09";"Organic";"Tablet";"Nigeria";"Free";"25-34";1
92;"2025-09-08";"07:04:11";"Paid Ads";"Mobile";"South Africa";"Premium";"25-34";1
93;"2025-10-04";"08:49:37";"Organic";"Desktop";"Kenya";"Free";"25-34";1
94;"2025-08-13";"10:48:41";"Paid Ads";"Mobile";"UK";"Free";"25-34";1
95;"2025-07-28";"09:35:57";"Referral";"Mobile";"Nigeria";"Premium";"18-24";1
96;"2025-08-26";"07:22:11";"Organic";"Desktop";"Nigeria";"Free";"18-24";1
97;"2025-07-26";"07:06:53";"Referral";"Mobile";"Nigeria";"Free";"35-44";1
98;"2025-05-02";"06:27:42";"Organic";"Desktop";"Nigeria";"Premium";"25-34";1
99;"2025-06-11";"02:37:02";"Referral";"Mobile";"South Africa";"Premium";"18-24";1
100;"2025-08-05";"12:13:59";"Paid Ads";"Desktop";"South Africa";"Premium";"45+";1
101;"2025-07-01";"12:51:25";"Organic";"Mobile";"Kenya";"Premium";"25-34";1
102;"2025-03-02";"07:46:30";"Organic";"Mobile";"Kenya";"Free";"18-24";1
103;"2025-09-16";"10:53:47";"Social";"Mobile";"Kenya";"Free";"45+";1
104;"2025-03-11";"10:52:40";"Organic";"Mobile";"USA";"Free";"25-34";1
105;"2025-12-01";"03:48:13";"Organic";"Mobile";"Nigeria";"Premium";"45+";1
106;"2025-07-09";"10:29:59";"Organic";"Mobile";"UK";"Free";"18-24";1
107;"2025-08-02";"11:10:12";"Paid Ads";"Mobile";"UK";"Free";"18-24";1
108;"2025-10-19";"12:57:51";"Paid Ads";"Mobile";"Nigeria";"Free";"25-34";1
109;"2025-09-13";"03:26:36";"Organic";"Mobile";"USA";"Free";"18-24";1
110;"2025-12-10";"01:02:09";"Organic";"Mobile";"UK";"Free";"18-24";1
111;"2025-01-02";"07:10:38";"Organic";"Mobile";"Ghana";"Free";"35-44";1
112;"2025-01-31";"10:45:08";"Organic";"Tablet";"Kenya";"Free";"18-24";1
113;"2025-10-02";"10:44:39";"Paid Ads";"Mobile";"South Africa";"Free";"45+";1
114;"2025-09-16";"12:53:45";"Referral";"Mobile";"Nigeria";"Free";"25-34";1
115;"2025-03-08";"03:20:56";"Organic";"Mobile";"Nigeria";"Free";"35-44";1
116;"2025-09-30";"12:03:07";"Organic";"Desktop";"UK";"Free";"25-34";1
117;"2025-06-30";"03:02:19";"Organic";"Mobile";"USA";"Free";"25-34";1
118;"2025-08-05";"08:12:28";"Social";"Desktop";"Nigeria";"Free";"25-34";1
119;"2025-01-15";"08:59:20";"Social";"Mobile";"UK";"Free";"25-34";1
120;"2025-12-25";"11:03:56";"Referral";"Mobile";"UK";"Free";"25-34";1
121;"2025-09-22";"01:22:22";"Organic";"Desktop";"Nigeria";"Free";"18-24";1
122;"2025-01-03";"08:57:16";"Organic";"Mobile";"Kenya";"Premium";"18-24";1
123;"2025-07-30";"04:18:08";"Organic";"Mobile";"Kenya";"Premium";"18-24";1
124;"2025-01-01";"01:36:24";"Organic";"Desktop";"UK";"Premium";"25-34";1
125;"2025-05-05";"08:51:18";"Paid Ads";"Desktop";"UK";"Free";"35-44";1
126;"2025-03-17";"09:09:28";"Referral";"Desktop";"Nigeria";"Free";"18-24";1
127;"2025-11-26";"01:41:43";"Referral";"Desktop";"South Africa";"Free";"18-24";1
128;"2025-07-31";"02:13:20";"Referral";"Desktop";"UK";"Free";"45+";1
129;"2025-06-19";"04:09:15";"Organic";"Desktop";"UK";"Free";"25-34";1
130;"2025-09-08";"12:02:15";"Paid Ads";"Mobile";"Nigeria";"Free";"45+";1
131;"2025-02-10";"12:08:55";"Organic";"Desktop";"South Africa";"Free";"45+";1
132;"2025-08-11";"01:12:30";"Organic";"Desktop";"USA";"Free";"18-24";1
133;"2025-05-28";"05:07:22";"Referral";"Mobile";"Nigeria";"Free";"45+";1
134;"2025-06-25";"11:20:18";"Organic";"Mobile";"Kenya";"Premium";"18-24";1
135;"2025-05-07";"12:51:28";"Paid Ads";"Mobile";"UK";"Free";"45+";1
136;"2025-01-21";"02:31:35";"Organic";"Desktop";"Nigeria";"Free";"25-34";1
137;"2025-02-05";"12:35:46";"Paid Ads";"Mobile";"USA";"Premium";"25-34";1
138;"2025-02-25";"07:54:10";"Referral";"Tablet";"Nigeria";"Free";"35-44";1
139;"2025-08-10";"03:09:20";"Organic";"Mobile";"Nigeria";"Free";"35-44";1
140;"2025-07-08";"02:23:54";"Referral";"Desktop";"Nigeria";"Free";"25-34";1
141;"2025-05-07";"12:37:24";"Organic";"Mobile";"Nigeria";"Free";"25-34";1
142;"2025-09-08";"12:16:41";"Paid Ads";"Desktop";"Nigeria";"Free";"18-24";1
143;"2025-10-12";"03:52:06";"Referral";"Desktop";"Ghana";"Premium";"35-44";1
144;"2025-12-05";"05:04:57";"Paid Ads";"Desktop";"Nigeria";"Free";"18-24";1
145;"2025-11-19";"07:42:32";"Social";"Desktop";"USA";"Premium";"35-44";1
146;"2025-02-14";"02:22:19";"Organic";"Desktop";"South Africa";"Free";"25-34";1
147;"2025-05-07";"08:10:46";"Paid Ads";"Mobile";"South Africa";"Free";"25-34";1
148;"2025-09-11";"02:33:44";"Paid Ads";"Mobile";"Kenya";"Premium";"25-34";1
149;"2025-10-31";"06:15:35";"Social";"Desktop";"Ghana";"Free";"35-44";1
150;"2025-07-25";"05:02:03";"Organic";"Mobile";"Kenya";"Premium";"45+";1
151;"2025-05-18";"08:20:49";"Referral";"Mobile";"Nigeria";"Free";"18-24";1
152;"2025-03-24";"12:35:44";"Paid Ads";"Mobile";"USA";"Free";"45+";1
153;"2025-02-22";"02:39:43";"Organic";"Mobile";"Kenya";"Free";"45+";1
154;"2025-06-30";"11:39:34";"Paid Ads";"Mobile";"Nigeria";"Free";"35-44";1
155;"2025-09-11";"10:00:54";"Organic";"Desktop";"South Africa";"Premium";"35-44";1
156;"2025-08-26";"01:16:45";"Paid Ads";"Mobile";"Ghana";"Free";"25-34";1
157;"2025-08-31";"03:07:03";"Referral";"Mobile";"Nigeria";"Free";"18-24";1
158;"2025-03-04";"10:53:24";"Paid Ads";"Mobile";"UK";"Free";"25-34";1
159;"2025-01-06";"07:14:42";"Paid Ads";"Desktop";"Ghana";"Free";"35-44";1
160;"2025-09-24";"11:04:11";"Paid Ads";"Tablet";"Ghana";"Free";"45+";1
161;"2025-08-24";"08:58:15";"Organic";"Desktop";"Kenya";"Free";"25-34";1
162;"2025-05-03";"08:13:09";"Organic";"Mobile";"USA";"Premium";"35-44";1
163;"2025-07-08";"05:41:46";"Paid Ads";"Tablet";"Nigeria";"Free";"35-44";1
164;"2025-11-22";"09:31:14";"Organic";"Desktop";"South Africa";"Free";"18-24";1
165;"2025-06-22";"05:48:48";"Organic";"Desktop";"Nigeria";"Free";"18-24";1
166;"2025-06-01";"04:27:14";"Paid Ads";"Desktop";"UK";"Premium";"35-44";1
167;"2025-04-30";"03:21:08";"Organic";"Mobile";"Nigeria";"Free";"18-24";1
168;"2025-05-28";"05:54:54";"Organic";"Mobile";"Nigeria";"Free";"18-24";1
169;"2025-04-25";"04:41:49";"Paid Ads";"Mobile";"UK";"Free";"25-34";1
170;"2025-09-14";"04:40:34";"Organic";"Mobile";"Kenya";"Free";"35-44";1
171;"2025-05-28";"06:22:56";"Social";"Desktop";"Kenya";"Free";"25-34";1
172;"2025-05-29";"02:42:12";"Referral";"Desktop";"Ghana";"Free";"35-44";1
173;"2025-11-24";"01:49:13";"Referral";"Desktop";"UK";"Free";"18-24";1
174;"2025-03-22";"12:42:30";"Organic";"Mobile";"Nigeria";"Free";"18-24";1
175;"2025-09-23";"01:28:30";"Referral";"Mobile";"Nigeria";"Premium";"25-34";1
176;"2025-10-29";"03:47:25";"Referral";"Mobile";"USA";"Free";"35-44";1
177;"2025-03-21";"10:32:06";"Referral";"Mobile";"South Africa";"Premium";"25-34";1
178;"2025-10-03";"03:46:34";"Organic";"Mobile";"Kenya";"Free";"18-24";1
179;"2025-12-20";"07:58:00";"Paid Ads";"Desktop";"UK";"Premium";"25-34";1
180;"2025-09-10";"03:49:34";"Referral";"Mobile";"South Africa";"Free";"35-44";1
181;"2025-03-17";"08:27:05";"Paid Ads";"Tablet";"Nigeria";"Free";"18-24";1
182;"2025-09-04";"12:10:17";"Paid Ads";"Mobile";"Nigeria";"Premium";"18-24";1
183;"2025-02-04";"07:02:19";"Paid Ads";"Desktop";"Kenya";"Free";"25-34";1
184;"2025-11-11";"02:42:20";"Paid Ads";"Mobile";"USA";"Free";"18-24";1
185;"2025-11-15";"11:29:54";"Organic";"Mobile";"Nigeria";"Free";"25-34";1
186;"2025-09-01";"09:46:38";"Paid Ads";"Desktop";"Nigeria";"Premium";"18-24";1
187;"2025-09-13";"10:35:11";"Organic";"Desktop";"USA";"Free";"18-24";1
188;"2025-06-28";"08:28:22";"Paid Ads";"Mobile";"Nigeria";"Free";"25-34";1
189;"2025-11-26";"02:14:08";"Organic";"Mobile";"Ghana";"Free";"18-24";1
190;"2025-03-04";"06:16:19";"Paid Ads";"Mobile";"Nigeria";"Premium";"18-24";1
191;"2025-08-02";"01:17:48";"Organic";"Desktop";"Ghana";"Free";"35-44";1
192;"2025-07-02";"04:33:35";"Paid Ads";"Tablet";"Kenya";"Premium";"18-24";1
193;"2025-11-01";"02:52:51";"Referral";"Mobile";"Nigeria";"Free";"25-34";1
194;"2025-07-03";"10:37:17";"Organic";"Mobile";"South Africa";"Free";"35-44";1
195;"2025-11-21";"01:24:52";"Organic";"Tablet";"Ghana";"Free";"18-24";1
196;"2025-12-20";"04:16:22";"Organic";"Mobile";"Ghana";"Free";"18-24";1
197;"2025-05-22";"10:00:06";"Referral";"Desktop";"Ghana";"Free";"25-34";1
198;"2025-07-25";"10:46:04";"Paid Ads";"Mobile";"South Africa";"Free";"25-34";1
199;"2025-08-02";"04:53:34";"Paid Ads";"Mobile";"South Africa";"Free";"25-34";1
200;"2025-03-10";"10:46:02";"Organic";"Mobile";"Ghana";"Free";"35-44";1
201;"2025-04-22";"03:14:43";"Paid Ads";"Mobile";"Ghana";"Free";"18-24";1
202;"2025-09-24";"03:03:40";"Referral";"Mobile";"Ghana";"Free";"25-34";1
203;"2025-11-28";"10:31:59";"Referral";"Desktop";"South Africa";"Premium";"45+";1
204;"2025-12-09";"06:59:18";"Paid Ads";"Desktop";"Nigeria";"Free";"18-24";1
205;"2025-04-02";"05:57:14";"Organic";"Desktop";"Nigeria";"Free";"18-24";1
206;"2025-12-29";"03:16:02";"Organic";"Desktop";"Nigeria";"Premium";"25-34";1
207;"2025-05-09";"02:58:29";"Organic";"Mobile";"USA";"Free";"45+";1
208;"2025-09-29";"07:23:07";"Organic";"Mobile";"UK";"Premium";"18-24";1
209;"2025-01-01";"12:06:25";"Organic";"Desktop";"South Africa";"Free";"25-34";1
210;"2025-12-23";"06:01:13";"Organic";"Mobile";"Nigeria";"Free";"18-24";1
211;"2025-06-20";"03:35:08";"Organic";"Mobile";"Nigeria";"Free";"25-34";1
212;"2025-11-23";"03:43:57";"Social";"Mobile";"USA";"Free";"18-24";1
213;"2025-01-30";"09:24:08";"Paid Ads";"Mobile";"USA";"Free";"25-34";1
214;"2025-07-15";"10:46:12";"Referral";"Mobile";"Nigeria";"Free";"25-34";1
215;"2025-01-08";"09:59:33";"Referral";"Desktop";"UK";"Premium";"45+";1
216;"2025-06-19";"11:46:35";"Organic";"Tablet";"Kenya";"Free";"35-44";1
217;"2025-04-12";"09:14:03";"Referral";"Desktop";"Kenya";"Free";"35-44";1
218;"2025-09-12";"03:12:43";"Organic";"Tablet";"UK";"Free";"18-24";1
219;"2025-02-05";"03:54:59";"Paid Ads";"Tablet";"Ghana";"Premium";"18-24";1
220;"2025-07-04";"03:21:01";"Organic";"Mobile";"UK";"Free";"25-34";1
221;"2025-01-24";"06:03:41";"Social";"Mobile";"Nigeria";"Free";"25-34";1
222;"2025-01-14";"09:44:42";"Organic";"Desktop";"Nigeria";"Premium";"25-34";1
223;"2025-07-20";"10:59:11";"Organic";"Mobile";"Nigeria";"Premium";"18-24";1
224;"2025-05-17";"08:03:05";"Social";"Mobile";"Kenya";"Free";"25-34";1
225;"2025-01-09";"02:28:06";"Organic";"Mobile";"South Africa";"Premium";"18-24";1
226;"2025-09-29";"05:33:15";"Paid Ads";"Mobile";"Nigeria";"Free";"25-34";1
227;"2025-08-24";"09:28:56";"Referral";"Mobile";"Kenya";"Premium";"18-24";1
228;"2025-01-10";"01:53:42";"Referral";"Mobile";"Kenya";"Free";"35-44";1
229;"2025-01-29";"06:06:53";"Social";"Mobile";"UK";"Premium";"18-24";1
230;"2025-03-02";"03:36:00";"Social";"Desktop";"Ghana";"Premium";"45+";1
231;"2025-11-20";"11:26:56";"Organic";"Mobile";"Ghana";"Free";"35-44";1
232;"2025-10-03";"05:39:04";"Referral";"Desktop";"Nigeria";"Free";"35-44";1
233;"2025-12-18";"05:01:14";"Paid Ads";"Mobile";"Kenya";"Free";"45+";1
234;"2025-09-18";"02:58:05";"Paid Ads";"Mobile";"Nigeria";"Free";"18-24";1
235;"2025-01-26";"08:50:00";"Organic";"Mobile";"Nigeria";"Free";"25-34";1
236;"2025-02-10";"03:22:27";"Paid Ads";"Mobile";"Nigeria";"Premium";"35-44";1
237;"2025-02-20";"12:37:32";"Social";"Desktop";"Nigeria";"Free";"18-24";1
238;"2025-09-03";"09:16:24";"Social";"Desktop";"Ghana";"Free";"25-34";1
239;"2025-05-01";"03:51:30";"Paid Ads";"Desktop";"USA";"Free";"25-34";1
240;"2025-12-12";"02:12:54";"Organic";"Tablet";"Nigeria";"Free";"25-34";1
241;"2025-01-30";"11:53:41";"Organic";"Mobile";"UK";"Free";"45+";1
242;"2025-05-26";"09:21:11";"Referral";"Mobile";"Nigeria";"Free";"25-34";1
243;"2025-05-22";"03:33:46";"Referral";"Mobile";"Ghana";"Premium";"18-24";1
244;"2025-06-16";"10:55:04";"Paid Ads";"Mobile";"Ghana";"Premium";"45+";1
245;"2025-01-23";"02:48:29";"Organic";"Mobile";"USA";"Premium";"18-24";1
246;"2025-06-16";"10:01:08";"Paid Ads";"Mobile";"Nigeria";"Premium";"35-44";1
247;"2025-03-09";"08:54:56";"Paid Ads";"Mobile";"Nigeria";"Free";"45+";1
248;"2025-05-14";"02:49:22";"Social";"Mobile";"Nigeria";"Free";"35-44";1
249;"2025-08-07";"06:27:53";"Paid Ads";"Mobile";"Kenya";"Free";"25-34";1
250;"2025-03-25";"09:32:27";"Organic";"Desktop";"USA";"Free";"35-44";1
251;"2025-07-04";"08:08:55";"Paid Ads";"Desktop";"UK";"Free";"25-34";1
252;"2025-09-26";"10:01:50";"Organic";"Desktop";"UK";"Free";"25-34";1
253;"2025-07-30";"04:51:06";"Social";"Desktop";"South Africa";"Free";"18-24";1
254;"2025-05-24";"04:25:25";"Organic";"Mobile";"USA";"Free";"18-24";1
255;"2025-01-01";"04:58:07";"Paid Ads";"Mobile";"Kenya";"Free";"35-44";1
256;"2025-07-06";"08:44:15";"Organic";"Mobile";"Nigeria";"Free";"25-34";1
257;"2025-06-19";"05:39:35";"Paid Ads";"Desktop";"UK";"Free";"25-34";1
258;"2025-09-26";"08:52:03";"Paid Ads";"Desktop";"Nigeria";"Free";"25-34";1
259;"2025-07-31";"11:56:32";"Referral";"Mobile";"Nigeria";"Premium";"35-44";1
260;"2025-04-29";"10:03:41";"Organic";"Mobile";"Nigeria";"Free";"35-44";1
261;"2025-05-31";"05:25:04";"Organic";"Tablet";"Ghana";"Free";"18-24";1
262;"2025-07-14";"03:16:09";"Organic";"Mobile";"Ghana";"Free";"25-34";1
263;"2025-03-17";"01:15:31";"Paid Ads";"Desktop";"Nigeria";"Premium";"18-24";1
264;"2025-08-22";"01:40:27";"Organic";"Mobile";"UK";"Free";"25-34";1
265;"2025-03-30";"02:21:49";"Paid Ads";"Mobile";"UK";"Free";"18-24";1
266;"2025-02-19";"07:13:42";"Referral";"Desktop";"USA";"Free";"35-44";1
267;"2025-09-09";"02:00:33";"Referral";"Desktop";"South Africa";"Free";"18-24";1
268;"2025-08-03";"06:26:10";"Paid Ads";"Desktop";"UK";"Free";"18-24";1
269;"2025-07-19";"12:08:16";"Paid Ads";"Mobile";"UK";"Premium";"35-44";1
270;"2025-06-28";"11:37:20";"Organic";"Mobile";"Nigeria";"Free";"18-24";1
271;"2025-04-10";"12:58:31";"Paid Ads";"Desktop";"Nigeria";"Free";"25-34";1
272;"2025-08-10";"05:08:32";"Referral";"Mobile";"South Africa";"Free";"45+";1
273;"2025-02-27";"11:10:50";"Organic";"Mobile";"Nigeria";"Free";"25-34";1
274;"2025-10-01";"09:52:48";"Paid Ads";"Desktop";"Nigeria";"Premium";"35-44";1
275;"2025-03-01";"02:34:41";"Referral";"Mobile";"South Africa";"Premium";"35-44";1
276;"2025-05-14";"04:11:45";"Referral";"Mobile";"Nigeria";"Free";"18-24";1
277;"2025-08-26";"11:08:11";"Organic";"Desktop";"Nigeria";"Free";"25-34";1
278;"2025-08-17";"08:29:41";"Paid Ads";"Tablet";"South Africa";"Premium";"25-34";1
279;"2025-03-31";"12:21:42";"Organic";"Mobile";"UK";"Free";"18-24";1
280;"2025-09-16";"10:32:04";"Organic";"Mobile";"UK";"Free";"18-24";1
281;"2025-07-03";"04:18:39";"Social";"Desktop";"South Africa";"Premium";"25-34";1
282;"2025-11-04";"05:02:24";"Referral";"Desktop";"South Africa";"Free";"35-44";1
283;"2025-03-18";"11:54:40";"Referral";"Desktop";"Kenya";"Free";"35-44";1
284;"2025-09-15";"08:12:02";"Organic";"Mobile";"Nigeria";"Free";"25-34";1
285;"2025-02-20";"02:28:13";"Referral";"Mobile";"Nigeria";"Premium";"25-34";1
286;"2025-01-08";"06:09:05";"Paid Ads";"Desktop";"UK";"Free";"25-34";1
287;"2025-10-09";"10:00:11";"Organic";"Desktop";"South Africa";"Free";"35-44";1
288;"2025-03-05";"07:36:57";"Paid Ads";"Desktop";"UK";"Premium";"18-24";1
289;"2025-05-03";"09:40:47";"Organic";"Mobile";"UK";"Premium";"18-24";1
290;"2025-10-27";"03:51:33";"Referral";"Mobile";"Nigeria";"Free";"25-34";1
291;"2025-03-12";"12:04:06";"Paid Ads";"Mobile";"South Africa";"Free";"25-34";1
292;"2025-01-13";"10:50:43";"Organic";"Tablet";"Kenya";"Free";"35-44";1
293;"2025-05-16";"03:01:10";"Organic";"Desktop";"Kenya";"Free";"25-34";1
294;"2025-09-07";"06:03:54";"Organic";"Mobile";"South Africa";"Free";"18-24";1
295;"2025-03-05";"03:11:51";"Organic";"Mobile";"USA";"Premium";"18-24";1
296;"2025-12-06";"04:22:18";"Paid Ads";"Mobile";"UK";"Free";"45+";1
297;"2025-03-24";"05:07:10";"Referral";"Mobile";"USA";"Free";"18-24";1
298;"2025-08-11";"10:08:37";"Organic";"Desktop";"Nigeria";"Free";"18-24";1
299;"2025-01-30";"02:37:11";"Organic";"Desktop";"Nigeria";"Free";"35-44";1
300;"2025-03-19";"01:58:28";"Paid Ads";"Mobile";"Nigeria";"Free";"25-34";1
301;"2025-12-30";"04:11:31";"Referral";"Mobile";"Nigeria";"Premium";"25-34";1
302;"2025-08-12";"01:03:29";"Organic";"Desktop";"Kenya";"Free";"25-34";1
303;"2025-05-02";"03:39:49";"Organic";"Mobile";"Ghana";"Free";"45+";1
